Objectid,Year,Metro,Cbsa,Employment,Labor_Force,Unemployment,Unemployment_Rate,Source
53,1995,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2408648,2511588,102940,0.040986022,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
54,1996,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",1983897,2063493,79596,0.038573429,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
55,1996,Bay Area,Bay Area,3225324,3380125,154801,0.045797419,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
56,1996,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4317117,4559436,242319,0.053146705,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
57,1996,Dallas,"Dallas-Fort Worth-Arlington, TX",2478571,2584013,105442,0.040805522,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
58,1996,Houston,"Houston-Sugar Land-Baytown, TX",2132513,2258307,125794,0.05570279,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
59,1996,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2160943,2313632,152689,0.06599537,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
60,1996,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",8205971,8785109,579138,0.065922688,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
61,1996,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2636630,2788741,152111,0.054544685,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
62,1996,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2412696,2510255,97559,0.038864179,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
63,1997,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",2070612,2149265,78653,0.036595301,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
64,1997,Bay Area,Bay Area,3356553,3491067,134514,0.038530913,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
65,1997,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4369671,4596052,226381,0.049255535,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
66,1997,Dallas,"Dallas-Fort Worth-Arlington, TX",2569593,2668445,98852,0.037044796,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
67,1997,Houston,"Houston-Sugar Land-Baytown, TX",2185616,2308355,122739,0.053171631,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
68,1997,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2229602,2375748,146146,0.061515784,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
69,1997,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",8426163,9009280,583117,0.06472404,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
70,1997,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2692273,2828410,136137,0.048131989,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
71,1997,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2433360,2522876,89516,0.035481728,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
72,1998,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",2161779,2235998,74219,0.033192785,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
73,1998,Bay Area,Bay Area,3437688,3563987,126299,0.035437559,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
74,1998,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4409060,4620877,211817,0.045839134,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
75,1998,Dallas,"Dallas-Fort Worth-Arlington, TX",2647907,2739976,92069,0.033602119,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
76,1998,Houston,"Houston-Sugar Land-Baytown, TX",2263154,2368740,105586,0.044574753,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
77,1998,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2273874,2407184,133310,0.055380062,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
78,1998,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",8556162,9053166,497004,0.054898364,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
79,1998,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2724419,2846319,121900,0.042827245,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
80,1998,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2477469,2555259,77790,0.030443098,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
81,1999,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",2233912,2302794,68882,0.029912359,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
82,1999,Bay Area,Bay Area,3502154,3612798,110644,0.030625571,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
83,1999,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4515013,4724624,209611,0.044365647,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
84,1999,Dallas,"Dallas-Fort Worth-Arlington, TX",2730851,2819732,88881,0.031521081,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
85,1999,Houston,"Houston-Sugar Land-Baytown, TX",2285616,2400782,115166,0.047970203,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
86,1999,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2309612,2426822,117210,0.048297733,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
87,1999,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",8685978,9145985,460007,0.050296059,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
88,1999,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2749362,2866276,116914,0.040789512,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
89,1999,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2546968,2614603,67635,0.025868172,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
90,2000,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",2289854,2362703,72849,0.030832906,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
91,2000,Bay Area,Bay Area,3611192,3735715,124523,0.03333311,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
92,2000,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4569727,4779095,209368,0.043809131,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
93,2000,Dallas,"Dallas-Fort Worth-Arlington, TX",2772958,2876484,103526,0.035990466,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
